#Parameters = {realphi=0; phi=360; theta=3; blendraduis=2.8456603219661; L=6; Pin=1; a=20; b=10; blendFmax=0.02; blendradius=2.85; d=5; s=4; ta=16.03; tb=10.61; totaltime=10; trh=1.69; wr=11.49; wt=0.91}
#"Frequency / GHz"	"S1,1 (1) [Magnitude]"
#----------------------------------------
6.0552000000000	-26.568475058626
6.0560000000000	-26.559143470096
6.0568000000000	-26.549795675145
6.0576000000000	-26.540431672349
6.0584000000000	-26.531051460903
6.0592000000000	-26.521655040638
6.0600000000000	-26.512242412026
6.0608000000000	-26.502813576193
6.0616000000000	-26.493368534930
6.0624000000000	-26.483907290702
6.0632000000000	-26.474429846662
6.0640000000000	-26.464936206660
6.0648000000000	-26.455426375254
6.0656000000000	-26.445900357723
6.0664000000000	-26.436358160077
6.0672000000000	-26.426799789071
6.0680000000000	-26.417225252215
6.0688000000000	-26.407634557786
6.0696000000000	-26.398027714841
6.0704000000000	-26.388404733230
6.0712000000000	-26.378765623607
6.0720000000000	-26.369110397445
6.0728000000000	-26.359439067045
6.0736000000000	-26.349751645555
6.0744000000000	-26.340048146976
6.0752000000000	-26.330328586182
6.0760000000000	-26.320592978929
6.0768000000000	-26.310841341872
6.0776000000000	-26.301073692577
6.0784000000000	-26.291290049534
6.0792000000000	-26.281490432174
6.0800000000000	-26.271674860884
6.0808000000000	-26.261843357018
6.0816000000000	-26.251995942913
6.0824000000000	-26.242132641908
6.0832000000000	-26.232253478353
6.0840000000000	-26.222358477630
6.0848000000000	-26.212447666164
6.0856000000000	-26.202521071443
6.0864000000000	-26.192578722032
6.0872000000000	-26.182620647586
6.0880000000000	-26.172646878875
6.0888000000000	-26.162657447791
6.0896000000000	-26.152652387371
6.0904000000000	-26.142631731811
6.0912000000000	-26.132595516488
6.0920000000000	-26.122543777969
6.0928000000000	-26.112476554037
6.0936000000000	-26.102393883705
6.0944000000000	-26.092295807235
6.0952000000000	-26.082182366155
6.0960000000000	-26.072053603280
6.0968000000000	-26.061909562728
6.0976000000000	-26.051750289943
6.0984000000000	-26.041575831709
6.0992000000000	-26.031386236174
6.1000000000000	-26.021181552869
6.1008000000000	-26.010961832725
6.1016000000000	-26.000727128096
6.1024000000000	-25.990477492780
6.1032000000000	-25.980212982038
6.1040000000000	-25.969933652614
6.1048000000000	-25.959639562760
6.1056000000000	-25.949330772253
6.1064000000000	-25.939007342421
6.1072000000000	-25.928669336162
6.1080000000000	-25.918316817966
6.1088000000000	-25.907949853940
6.1096000000000	-25.897568511829
6.1104000000000	-25.887172861039
6.1112000000000	-25.876762972661
6.1120000000000	-25.866338919494
6.1128000000000	-25.855900776070
6.1136000000000	-25.845448618674
6.1144000000000	-25.834982525376
6.1152000000000	-25.824502576048
6.1160000000000	-25.814008852392
6.1168000000000	-25.803501437968
6.1176000000000	-25.792980418213
6.1184000000000	-25.782445880473
6.1192000000000	-25.771897914026
6.1200000000000	-25.761336610109
6.1208000000000	-25.750762061944
6.1216000000000	-25.740174364766
6.1224000000000	-25.729573615850
6.1232000000000	-25.718959914537
6.1240000000000	-25.708333362263
6.1248000000000	-25.697694062589
6.1256000000000	-25.687042121226
6.1264000000000	-25.676377646065
6.1272000000000	-25.665700747207
6.1280000000000	-25.655011536991
6.1288000000000	-25.644310130025
6.1296000000000	-25.633596643214
6.1304000000000	-25.622871195791
6.1312000000000	-25.612133909349
6.1320000000000	-25.601384907871
6.1328000000000	-25.590624317759
6.1336000000000	-25.579852267870
6.1344000000000	-25.569068889543
6.1352000000000	-25.558274316633
6.1360000000000	-25.547468685545
6.1368000000000	-25.536652135265
6.1376000000000	-25.525824807394
6.1384000000000	-25.514986846179
6.1392000000000	-25.504138398550
6.1400000000000	-25.493279614154
6.1408000000000	-25.482410645383
6.1416000000000	-25.471531647419
6.1424000000000	-25.460642778259
6.1432000000000	-25.449744198758
6.1440000000000	-25.438836072660
6.1448000000000	-25.427918566635
6.1456000000000	-25.416991850316
6.1464000000000	-25.406056096333
6.1472000000000	-25.395111480356
6.1480000000000	-25.384158181124
6.1488000000000	-25.373196380490
6.1496000000000	-25.362226263452
6.1504000000000	-25.351248018196
