#Parameters = {L=6; LDR=12; LR=12; Ltransport1=10.607733770972; Ltransport2=10.607733770972; a=20; ar=28.499; atransport1=22.782495950948; atransport2=26.47017292485; b=10; blendraduis=2.821301886583; br=12.624; btransport1=10.727352682803; btransport2=11.403084710629; d=5; dtransport1=6.5566911660216; dtransport2=9.4039177915434; psi=0.6; s=4; stransport1=4; stransport2=4; ta=16.248247942233; tb=10.676497873447; trh=1.7173139577041; wr=11.465380432449; wt=0.90803999452356}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
5.2260000000000	-5.3664628467318
5.2280000000000	-5.3608132405395
5.2300000000000	-5.2976638797921
5.2320000000000	-5.1962253612393
5.2340000000000	-5.0669523170763
5.2360000000000	-4.9159056106784
5.2380000000000	-4.7466478061386
5.2400000000000	-4.5610551393119
5.2420000000000	-4.3595238682310
5.2440000000000	-4.1407025817357
5.2460000000000	-3.9007297928474
5.2480000000000	-3.6319697351910
5.2500000000000	-3.3217127242449
5.2520000000000	-2.9531726295921
5.2540000000000	-2.5157939247421
5.2560000000000	-2.0345559755083
5.2580000000000	-1.4962503011805
5.2600000000000	-9.0241258299854e-05
5.2620000000000	-0.00066669772836858
5.2640000000000	-9.6432746655329e-16
5.2660000000000	0.00000000000000
5.2680000000000	-0.0021954698283088
5.2700000000000	-0.0097669892340447
5.2720000000000	-0.013480804610865
5.2740000000000	-0.013411577716613
5.2760000000000	-0.010935236135367
5.2780000000000	-0.0074981725728935
5.2800000000000	-0.0041867493189767
5.2820000000000	-0.0016635394263136
5.2840000000000	-0.00023762724378083
5.2860000000000	0.00000000000000
5.2880000000000	-0.00074687096911083
5.2900000000000	-0.0023915618247964
5.2920000000000	-0.0046767576010117
5.2940000000000	-0.0073779790965132
5.2960000000000	-0.010289939897297
5.2980000000000	-0.013237152158140
5.3000000000000	-0.016077988378006
5.3020000000000	-0.018704576291378
5.3040000000000	-0.021040239664983
5.3060000000000	-0.023035666929274
5.3080000000000	-0.024664588557608
5.3100000000000	-0.025919453508737
5.3120000000000	-0.026807391747450
5.3140000000000	-0.027346612409816
5.3160000000000	-0.027563297559205
5.3180000000000	-0.027488995662507
5.3200000000000	-0.027158486259270
5.3220000000000	-0.026608070114041
5.3240000000000	-0.025874231920227
5.3260000000000	-0.024992621630259
5.3280000000000	-0.023997303078554
5.3300000000000	-0.022920223120339
5.3320000000000	-0.021790859887612
5.3340000000000	-0.020636014328426
5.3360000000000	-0.019479714532172
5.3380000000000	-0.018343207237565
5.3400000000000	-0.017245015292160
5.3420000000000	-0.016201043665276
5.3440000000000	-0.015224719858636
