"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
8.1625,-28.8237941832366,-0.0128136477511546
8.175,-28.7891796333545,-0.0128558967272431
8.1875,-28.7547712540091,-0.0128977758439084
8.2,-28.7205666822511,-0.0129392957900631
8.2125,-28.6865636399498,-0.0129804685844409
8.225,-28.6527599313487,-0.0130213075215617
8.2375,-28.6191534407105,-0.0130618271166351
8.25,-28.5857421300499,-0.0131020430494771
8.2625,-28.5525240369475,-0.0131419721075278
8.275,-28.5194972724439,-0.0131816321280316
8.2875,-28.4866600190092,-0.0132210419394613
8.3,-28.4540105285852,-0.0132602213023024
8.3125,-28.4215471206977,-0.0132991908491896
8.325,-28.3892681806347,-0.0133379720245903
8.3375,-28.3571721576894,-0.0133765870239442
8.35,-28.3252575634645,-0.0134150587324936
8.3625,-28.2935229702353,-0.0134534106637526
8.375,-28.2619670093689,-0.0134916668977644
8.3875,-28.2305883697989,-0.0135298520191101
8.4,-28.1993857965508,-0.0135679910548628
8.4125,-28.1683580893183,-0.0136061094124392
8.425,-28.1375041010875,-0.0136442328174812
8.4375,-28.1068227368074,-0.0136823872517454
8.45,-28.0763129521038,-0.0137205988911784
8.4625,-28.0459737520377,-0.0137588940441032
8.475,-28.0158041899027,-0.0137972990896822
8.4875,-27.9858033660631,-0.0138358404166435
8.5,-27.9559704268295,-0.0138745443623345
8.5125,-27.9263045633708,-0.0139134371521819
8.525,-27.8968050106616,-0.0139525448396015
8.5375,-27.8674710464629,-0.0139918932463671
8.55,-27.8383019903357,-0.014031507903545
8.5625,-27.8092972026859,-0.0140714139930118
8.575,-27.7804560838392,-0.0141116362895924
8.5875,-27.751778073145,-0.0141521991039128
8.6,-27.723262648109,-0.0141931262259305
8.6125,-27.6949093235515,-0.0142344408692886
8.625,-27.6667176507934,-0.0142761656164531
8.6375,-27.638687216866,-0.0143183223646982
8.65,-27.6108176437457,-0.0143609322730362
8.6625,-27.583108587612,-0.0144040157100321
8.675,-27.5555597381282,-0.0144475922026413
8.6875,-27.5281708177442,-0.0144916803860475
8.7,-27.5009415810196,-0.0145362979545647
8.7125,-27.4738718139686,-0.0145814616136347
8.725,-27.4469613334235,-0.0146271870329661
8.7375,-27.4202099864179,-0.0146734888008432
8.75,-27.3936176495888,-0.0147203803796195
8.7625,-27.3671842285963,-0.0147678740624957
8.775,-27.3409096575604,-0.0148159809315483
8.7875,-27.3147938985162,-0.0148647108170633
8.8,-27.288836940884,-0.0149140722582463
8.8125,-27.2630388009563,-0.0149640724652832
8.825,-27.2373995214006,-0.0150147172828082
8.8375,-27.2119191707768,-0.0150660111548505
8.85,-27.18659784307,-0.0151179570912201
8.8625,-27.1614356572375,-0.0151705566353867
8.875,-27.1364327567704,-0.0152238098339531
8.8875,-27.1115893092684,-0.0152777152076184
8.9,-27.0869055060286,-0.0153322697237907
8.9125,-27.062381561648,-0.0153874687707841
8.925,-27.0380177136388,-0.0154433061336952
8.9375,-27.0138142220559,-0.0154997739719136
8.95,-26.9897713691387,-0.0155568627983881
8.9625,-26.9658894589639,-0.0156145614605899
8.975,-26.9421688171119,-0.0156728571232331
8.9875,-26.9186097903446,-0.0157317352527858
9,-26.8952127462959,-0.0157911796037775
9.0125,-26.8719780731746,-0.0158511722069617
9.025,-26.8489061794785,-0.0159116933593021
9.0375,-26.8259974937214,-0.0159727216158491
9.05,-26.8032524641717,-0.0160342337835374
9.0625,-26.7806715586033,-0.0160962049168808
9.075,-26.7582552640586,-0.0161586083156347
9.0875,-26.7360040866231,-0.0162214155244113
9.1,-26.7139185512136,-0.0162845963343091
9.1125,-26.6919992013771,-0.0163481187865383
9.125,-26.6702465991037,-0.0164119491780649
9.1375,-26.6486613246513,-0.0164760520693626
9.15,-26.6272439763837,-0.0165403902941859
9.1625,-26.6059951706214,-0.0166049249714389
9.175,-26.5849155415061,-0.0166696155192023
9.1875,-26.564005740879,-0.0167344196708516
9.2,-26.5432664381724,-0.0167992934933347
9.2125,-26.5226983203163,-0.0168641914076413
9.225,-26.5023020916598,-0.016929066211423
9.2375,-26.4820784739067,-0.0169938691038428
9.25,-26.4620282060677,-0.0170585497126558
9.2625,-26.4421520444281,-0.0171230561234931
9.275,-26.4224507625323,-0.0171873349114439
9.2875,-26.4029251511851,-0.0172513311748824
9.3,-26.3835760184715,-0.0173149885715939
9.3125,-26.3644041897942,-0.017378249357203
9.325,-26.3454105079303,-0.0174410544259251
9.3375,-26.3265958331087,-0.0175033433536425
9.35,-26.3079610431067,-0.0175650544433629
9.3625,-26.2895070333699,-0.0176261247729793
9.375,-26.2712347171531,-0.0176864902454922
9.3875,-26.2531450256854,-0.0177460856415602
9.4,-26.2352389083594,-0.0178048446744827
9.4125,-26.2175173329469,-0.0178627000476061
9.425,-26.1999812858399,-0.0179195835141653
9.4375,-26.1826317723208,-0.0179754259395674
9.45,-26.165469816862,-0.0180301573661236
9.4625,-26.1484964634554,-0.0180837070803029
9.475,-26.1317127759752,-0.0181360036824039
9.4875,-26.1151198385746,-0.0181869751587845
9.5,-26.0987187561172,-0.018236548956592
9.5125,-26.0825106546475,-0.0182846520609477
9.525,-26.0664966818995,-0.0183312110747924
9.5375,-26.0506780078479,-0.0183761523011672
9.55,-26.0350558253025,-0.0184194018280945
9.5625,-26.0196313505488,-0.0184608856160527
9.575,-26.0044058240376,-0.0185005295879775
9.5875,-25.989380511126,-0.0185382597218923
9.6,-25.9745567028721,-0.0185740021461402
9.6125,-25.9599357168874,-0.0186076832371987
9.625,-25.94551889825,-0.0186392297201609
9.6375,-25.9313076204812,-0.0186685687718062
9.65,-25.91730328659,-0.0186956281263364
9.6625,-25.9035073301899,-0.0187203361837767
9.675,-25.889921216691,-0.0187426221210047
9.6875,-25.8765464445725,-0.0187624160054809
9.7,-25.8633845467411,-0.0187796489116523
9.7125,-25.8504370919797,-0.0187942530400377
9.725,-25.8377056864919,-0.0188061618390466
9.7375,-25.825191975549,-0.0188153101294373
9.75,-25.8128976452449,-0.018821634231591
9.7625,-25.8008244243672,-0.0188250720954206
9.775,-25.7889740863899,-0.0188255634330625
9.7875,-25.7773484515977,-0.0188230498543268
9.8,-25.7659493893489,-0.0188174750048269
9.8125,-25.7547788204864,-0.018808784706983
9.825,-25.7438387199076,-0.0187969271036615
9.8375,-25.733131119302,-0.0187818528047079
9.85,-25.7226581100703,-0.0187635150361815
9.8625,-25.7124218464351,-0.0187418697924226
9.875,-25.7024245487577,-0.0187168759908855
9.8875,-25.6926685070757,-0.0186884956298159
9.9,-25.6831560848764,-0.0186566939487005
9.9125,-25.6738897231226,-0.0186214395915406
9.925,-25.6648719445502,-0.0185827047729772
9.9375,-25.656105358256,-0.01854046544719
9.95,-25.6475926645991,-0.0184947014796962
9.9625,-25.6393366604368,-0.0184453968219263
9.975,-25.6313402447226,-0.0183925396886689
9.9875,-25.623606424493,-0.0183361227383762
10,-25.6161383212724,-0.0182761432563268
10.0125,-25.6089391779313,-0.0182126033405616
10.025,-25.6020123660299,-0.0181455100908109
10.0375,-25.5953613936902,-0.0180748758001715
10.05,-25.5889899140359,-0.0180007181496931
10.0625,-25.5829017342493,-0.0179230604058252
10.075,-25.5771008252942,-0.0178419316207406
10.0875,-25.571591332363,-0.0177573668354893
10.1,-25.5663775861083,-0.0176694072860489
10.1125,-25.5614641147271,-0.0175781006122276
10.125,-25.5568556569715,-0.0174835010694383
10.1375,-25.5525571761693,-0.0173856697433266
10.15,-25.5485738753439,-0.0172846747672466
10.1625,-25.544911213533,-0.0171805915426129
10.175,-25.5415749234179,-0.0170735029620769
10.1875,-25.5385710303852,-0.0169634996355895
10.2,-25.535905873155,-0.0168506801192094
10.2125,-25.5335861261288,-0.0167351511468373
10.225,-25.5316188236209,-0.0166170278647305
10.2375,-25.5300113861629,-0.0164964340687909
10.25,-25.5287716490858,-0.0163735024447175
10.2625,-25.5279078936126,-0.0162483748108647
10.275,-25.5274288807201,-0.0161212023639523
10.2875,-25.5273438880602,-0.0159921459274332
10.3,-25.5276627502639,-0.0158613762027153
10.3125,-25.5283959029961,-0.0157290740229761
10.325,-25.5295544311698,-0.0155954306097633
10.3375,-25.5311501217843,-0.0154606478322109
