#Parameters = {L=6; Pin=1; a=20; b=10; blendFmax=0.02; blendradius=2.85; blendraduis=2.8456603219661; d=5; phi=360; realphi=0; s=4; ta=16.03; tb=10.61; theta=0; totaltime=10; trh=1.69; wr=11.49; wt=0.91}
#"Length / mm"	"axis_e-field (f=8) (1) (realphi=0) [Real Part]"
#--------------------------------------------------------------
15.496090888977	663.21315516735
15.584136962891	651.33704758645
15.672183036804	639.42166616699
15.760228157043	627.36843577047
15.848274230957	614.76698819532
15.936320304871	601.79544582453
16.024366378784	588.85089596224
16.112411499023	575.93354570515
16.200458526611	562.73180162431
16.288503646851	549.37027158940
16.376550674438	536.11992670921
16.464595794678	523.02985414469
16.552642822266	509.87070895015
16.640687942505	496.64310575929
16.728734970093	483.24781849331
16.816780090332	469.64858706079
16.904827117920	455.95606415105
16.992872238159	442.17088845187
17.080917358398	428.29284407197
17.168964385986	414.32410567634
17.257009506226	399.97520637684
17.345056533813	385.58162504019
17.433101654053	371.28601016610
17.521148681641	356.92969674482
17.609193801880	342.22170905017
17.697240829468	327.43446432907
17.785285949707	312.56855583885
17.873331069946	297.62363128422
17.961378097534	282.59936951575
