"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.4915,-50.281228597465,-0.00994050713094585
1.49375,-51.2367611853595,-0.00993530530952137
1.496,-52.3011740046341,-0.00993113883758026
1.49825,-53.4924894111214,-0.00992803500623602
1.5005,-54.8259006631037,-0.00992602132412486
1.50275,-56.2991813733856,-0.00992512551710541
1.505,-57.8504459195022,-0.00992537552799828
1.50725,-59.2605253050384,-0.00992679951628253
1.5095,-60.0564809580761,-0.00992942585782533
1.51175,-59.7813989909123,-0.00993328314462073
1.514,-58.5819200474209,-0.00993840018450851
1.51625,-56.9949837878296,-0.00994480600091578
1.5185,-55.386705640458,-0.00995252983258924
1.52075,-53.8943805674436,-0.00996160113334258
1.523,-52.5467194599348,-0.00997204957178785
1.52525,-51.3356620445471,-0.00998390503109252
1.5275,-50.2438730205019,-0.00999719760871396
1.52975,-49.2537320197384,-0.0100119576161489
1.532,-48.3498282010962,-0.0100282155786837
1.53425,-47.5193270890074,-0.010046002235142
1.5365,-46.7517058615901,-0.010065348537621
1.53875,-46.0383556044369,-0.0100862856512702
1.541,-45.3722064976662,-0.0101088449540013
1.54325,-44.7474152544267,-0.0101330580362733
1.5455,-44.1591160344763,-0.0101589567008188
1.54775,-43.6032253185033,-0.0101865729623955
1.55,-43.0762897497977,-0.0102159390475517
1.55225,-42.5753672912587,-0.0102470873943543
1.5545,-42.0979339615212,-0.0102800506521391
1.55675,-41.6418101794077,-0.0103148616812703
1.559,-41.2051021807427,-0.0103515535528741
1.56125,-40.7861550794192,-0.0103901595485851
1.5635,-40.3835149807993,-0.0104307131602986
1.56575,-39.9958981808752,-0.0104732480899046
1.568,-39.6221659512736,-0.0105177982490305
1.57025,-39.2613037590348,-0.0105643977587885
1.5725,-38.9124040319285,-0.0106130809495141
1.57475,-38.5746517776442,-0.0106638823604901
1.577,-38.2473125151836,-0.0107168367397107
1.57925,-37.9297220913753,-0.010771979043592
1.5815,-37.6212780435732,-0.010829344436724
1.58375,-37.3214322378257,-0.0108889682915974
1.586,-37.0296845649706,-0.0109508861883294
1.58825,-36.745577518798,-0.0110151339144043
1.5905,-36.4686915133186,-0.0110817474644057
1.59275,-36.198640822284,-0.011150763039728
1.595,-35.9350700449475,-0.0112222170483231
1.59725,-35.6776510187892,-0.0112961461044024
1.5995,-35.4260801134318,-0.0113725870281802
1.60175,-35.1800758509288,-0.0114515768455919
1.604,-34.9393768065397,-0.0115331527880035
1.60625,-34.7037397514191,-0.0116173522919377
1.6085,-34.4729380046701,-0.0117042129987941
1.61075,-34.2467599671826,-0.011793772754561
1.613,-34.0250078138086,-0.0118860696095272
1.61525,-33.8074963238661,-0.011981141817998
1.6175,-33.59405183284,-0.0120790278380054
1.61975,-33.3845112905645,-0.0121797663310168
1.622,-33.1787214132078,-0.0122833961616379
1.62425,-32.976537918102,-0.0123899563973288
1.6265,-32.7778248319178,-0.0124994863080909
1.62875,-32.5824538639314,-0.0126120253661897
1.631,-32.3903038371881,-0.0127276132458374
1.63325,-32.2012601712763,-0.012846289822902
1.6355,-32.0152144112069,-0.0129680951745955
1.63775,-31.8320637975625,-0.0130930695791724
1.64,-31.6517108736626,-0.0132212535156288
1.64225,-31.4740631259929,-0.0133526876633771
1.6445,-31.2990326545785,-0.0134874129019561
1.64675,-31.1265358703665,-0.0136254703106936
1.649,-30.956493217007,-0.0137669011684096
1.65125,-30.788828914714,-0.0139117469530938
1.6535,-30.6234707241397,-0.0140600493415732
