#Parameters = {totaltime=320; L=18.9; PIN=7000; a=63; b=32; blendraduis=7.13; d=5; s=29; smallblend=0.5; ta=87.96; tb=20.47; trh=3.91; wa=74.97; wb=11.96; wblend=3.01; wr=42.5699947662; wt=10.05}
#"Time / ns"	"Particle vs. Time [Real Part]"
#-------------------------------------------
0.28894989179129	23463.000000000
0.29060104322909	23460.000000000
0.29225219466689	23459.000000000
0.29390331834911	23459.000000000
0.29555446978691	23457.000000000
0.29720562122471	23457.000000000
0.29885674490693	23455.000000000
0.30050789634473	23456.000000000
0.30215904778252	23460.000000000
0.30381017146475	23460.000000000
0.30546132290254	23462.000000000
0.30711247434034	23460.000000000
0.30876359802257	23465.000000000
0.31041474946036	23464.000000000
0.31206590089816	23467.000000000
0.31371702458038	23470.000000000
0.31536817601818	23473.000000000
0.31701932745598	23472.000000000
0.31867045113820	23473.000000000
0.32032160257600	23475.000000000
0.32197275401380	23475.000000000
0.32362387769602	23476.000000000
0.32527502913382	23480.000000000
0.32692618057162	23482.000000000
0.32857730425384	23482.000000000
0.33022845569164	23479.000000000
