"l_a []","l_b []","l_c []","wphi [deg]","wtheta [rad]","Freq [GHz]","dB(S(1,1)) []"
-0.497,0.8678,1.48911394,0,-0.0037,94.01,-22.9268650309514
-0.497,0.8678,1.48911394,0,-0.0037,94.025,-23.1399312418706
-0.497,0.8678,1.48911394,0,-0.0037,94.04,-23.3622778431459
-0.497,0.8678,1.48911394,0,-0.0037,94.055,-23.5939205521664
-0.497,0.8678,1.48911394,0,-0.0037,94.07,-23.8348405337238
-0.497,0.8678,1.48911394,0,-0.0037,94.085,-24.0849775132438
-0.497,0.8678,1.48911394,0,-0.0037,94.1,-24.3442214676804
-0.497,0.8678,1.48911394,0,-0.0037,94.115,-24.6124026699665
-0.497,0.8678,1.48911394,0,-0.0037,94.13,-24.8892798541595
-0.497,0.8678,1.48911394,0,-0.0037,94.145,-25.174526274783
-0.497,0.8678,1.48911394,0,-0.0037,94.16,-25.4677134649645
-0.497,0.8678,1.48911394,0,-0.0037,94.175,-25.7682925673259
-0.497,0.8678,1.48911394,0,-0.0037,94.19,-26.0755732372866
-0.497,0.8678,1.48911394,0,-0.0037,94.205,-26.3887003236155
-0.497,0.8678,1.48911394,0,-0.0037,94.22,-26.706628843108
-0.497,0.8678,1.48911394,0,-0.0037,94.235,-27.0280982142558
-0.497,0.8678,1.48911394,0,-0.0037,94.25,-27.3516073232922
-0.497,0.8678,1.48911394,0,-0.0037,94.265,-27.6753927739152
-0.497,0.8678,1.48911394,0,-0.0037,94.28,-27.9974135942868
-0.497,0.8678,1.48911394,0,-0.0037,94.295,-28.3153466576725
-0.497,0.8678,1.48911394,0,-0.0037,94.31,-28.6265979449387
-0.497,0.8678,1.48911394,0,-0.0037,94.325,-28.9283352571578
-0.497,0.8678,1.48911394,0,-0.0037,94.34,-29.2175476881954
-0.497,0.8678,1.48911394,0,-0.0037,94.355,-29.4911356546665
-0.497,0.8678,1.48911394,0,-0.0037,94.37,-29.7460322036235
-0.497,0.8678,1.48911394,0,-0.0037,94.385,-29.9793516232237
-0.497,0.8678,1.48911394,0,-0.0037,94.4,-30.1885555461433
-0.497,0.8678,1.48911394,0,-0.0037,94.415,-30.3716209007405
-0.497,0.8678,1.48911394,0,-0.0037,94.43,-30.527189905712
-0.497,0.8678,1.48911394,0,-0.0037,94.445,-30.654681544556
-0.497,0.8678,1.48911394,0,-0.0037,94.46,-30.7543476357667
-0.497,0.8678,1.48911394,0,-0.0037,94.475,-30.8272644392273
-0.497,0.8678,1.48911394,0,-0.0037,94.49,-30.8752609373802
-0.497,0.8678,1.48911394,0,-0.0037,94.505,-30.9007948131353
-0.497,0.8678,1.48911394,0,-0.0037,94.52,-30.9067941506126
-0.497,0.8678,1.48911394,0,-0.0037,94.535,-30.8964855432136
-0.497,0.8678,1.48911394,0,-0.0037,94.55,-30.8732276448146
-0.497,0.8678,1.48911394,0,-0.0037,94.565,-30.840364501721
-0.497,0.8678,1.48911394,0,-0.0037,94.58,-30.801107027268
-0.497,0.8678,1.48911394,0,-0.0037,94.595,-30.7584453128149
-0.497,0.8678,1.48911394,0,-0.0037,94.61,-30.7150901015283
-0.497,0.8678,1.48911394,0,-0.0037,94.625,-30.6734390270315
-0.497,0.8678,1.48911394,0,-0.0037,94.64,-30.6355619978398
-0.497,0.8678,1.48911394,0,-0.0037,94.655,-30.6032000064208
-0.497,0.8678,1.48911394,0,-0.0037,94.67,-30.5777722275301
-0.497,0.8678,1.48911394,0,-0.0037,94.685,-30.5603871819102
-0.497,0.8678,1.48911394,0,-0.0037,94.7,-30.551854728125
-0.497,0.8678,1.48911394,0,-0.0037,94.715,-30.5526965650743
-0.497,0.8678,1.48911394,0,-0.0037,94.73,-30.5631537226638
-0.497,0.8678,1.48911394,0,-0.0037,94.745,-30.5831901865718
-0.497,0.8678,1.48911394,0,-0.0037,94.76,-30.6124923765566
-0.497,0.8678,1.48911394,0,-0.0037,94.775,-30.6504647239841
-0.497,0.8678,1.48911394,0,-0.0037,94.79,-30.696222125499
-0.497,0.8678,1.48911394,0,-0.0037,94.805,-30.748580633549
-0.497,0.8678,1.48911394,0,-0.0037,94.82,-30.8060484138942
-0.497,0.8678,1.48911394,0,-0.0037,94.835,-30.866819761059
-0.497,0.8678,1.48911394,0,-0.0037,94.85,-30.9287757760555
-0.497,0.8678,1.48911394,0,-0.0037,94.865,-30.9894960724101
-0.497,0.8678,1.48911394,0,-0.0037,94.88,-31.0462863983238
-0.497,0.8678,1.48911394,0,-0.0037,94.895,-31.0962270675695
-0.497,0.8678,1.48911394,0,-0.0037,94.91,-31.1362462406683
-0.497,0.8678,1.48911394,0,-0.0037,94.925,-31.1632200699168
-0.497,0.8678,1.48911394,0,-0.0037,94.94,-31.1740983544611
-0.497,0.8678,1.48911394,0,-0.0037,94.955,-31.1660498214566
-0.497,0.8678,1.48911394,0,-0.0037,94.97,-31.1366161222648
-0.497,0.8678,1.48911394,0,-0.0037,94.985,-31.0838592709664
-0.497,0.8678,1.48911394,0,-0.0037,95,-31.006484976882
-0.497,0.8678,1.48911394,0,-0.0037,95.015,-30.9039253247853
-0.497,0.8678,1.48911394,0,-0.0037,95.03,-30.7763689271141
-0.497,0.8678,1.48911394,0,-0.0037,95.045,-30.6247342462407
-0.497,0.8678,1.48911394,0,-0.0037,95.06,-30.4505904617815
-0.497,0.8678,1.48911394,0,-0.0037,95.075,-30.256037823875
-0.497,0.8678,1.48911394,0,-0.0037,95.09,-30.043564092205
-0.497,0.8678,1.48911394,0,-0.0037,95.105,-29.8158946525552
-0.497,0.8678,1.48911394,0,-0.0037,95.12,-29.5758516239688
-0.497,0.8678,1.48911394,0,-0.0037,95.135,-29.3262329142478
-0.497,0.8678,1.48911394,0,-0.0037,95.15,-29.0697171700523
-0.497,0.8678,1.48911394,0,-0.0037,95.165,-28.8087960605338
-0.497,0.8678,1.48911394,0,-0.0037,95.18,-28.5457319934066
-0.497,0.8678,1.48911394,0,-0.0037,95.195,-28.2825373637134
-0.497,0.8678,1.48911394,0,-0.0037,95.21,-28.0209706136812
-0.497,0.8678,1.48911394,0,-0.0037,95.225,-27.7625444138963
-0.497,0.8678,1.48911394,0,-0.0037,95.24,-27.5085418202662
-0.497,0.8678,1.48911394,0,-0.0037,95.255,-27.2600370369833
-0.497,0.8678,1.48911394,0,-0.0037,95.27,-27.0179182289544
-0.497,0.8678,1.48911394,0,-0.0037,95.285,-26.7829105649942
-0.497,0.8678,1.48911394,0,-0.0037,95.3,-26.5555982842148
-0.497,0.8678,1.48911394,0,-0.0037,95.315,-26.3364450512641
-0.497,0.8678,1.48911394,0,-0.0037,95.33,-26.1258122124322
-0.497,0.8678,1.48911394,0,-0.0037,95.345,-25.9239748051295
-0.497,0.8678,1.48911394,0,-0.0037,95.36,-25.7311353309617
-0.497,0.8678,1.48911394,0,-0.0037,95.375,-25.547435398954
-0.497,0.8678,1.48911394,0,-0.0037,95.39,-25.3729653982371
-0.497,0.8678,1.48911394,0,-0.0037,95.405,-25.2077723826818
-0.497,0.8678,1.48911394,0,-0.0037,95.42,-25.0518663539958
-0.497,0.8678,1.48911394,0,-0.0037,95.435,-24.9052251222142
-0.497,0.8678,1.48911394,0,-0.0037,95.45,-24.7677979085399
-0.497,0.8678,1.48911394,0,-0.0037,95.465,-24.6395078387044
-0.497,0.8678,1.48911394,0,-0.0037,95.48,-24.5202534577163
-0.497,0.8678,1.48911394,0,-0.0037,95.495,-24.4099093805632
-0.497,0.8678,1.48911394,0,-0.0037,95.51,-24.3083261790568
-0.497,0.8678,1.48911394,0,-0.0037,95.525,-24.2153295931419
-0.497,0.8678,1.48911394,0,-0.0037,95.54,-24.1307191460038
-0.497,0.8678,1.48911394,0,-0.0037,95.555,-24.0542662364721
-0.497,0.8678,1.48911394,0,-0.0037,95.57,-23.9857117797445
-0.497,0.8678,1.48911394,0,-0.0037,95.585,-23.9247634685689
-0.497,0.8678,1.48911394,0,-0.0037,95.6,-23.8710927319355
-0.497,0.8678,1.48911394,0,-0.0037,95.615,-23.8243314772634
-0.497,0.8678,1.48911394,0,-0.0037,95.63,-23.7840687151948
-0.497,0.8678,1.48911394,0,-0.0037,95.645,-23.7498471835317
-0.497,0.8678,1.48911394,0,-0.0037,95.66,-23.7211601084492
-0.497,0.8678,1.48911394,0,-0.0037,95.675,-23.697448266509
-0.497,0.8678,1.48911394,0,-0.0037,95.69,-23.6780975393157
-0.497,0.8678,1.48911394,0,-0.0037,95.705,-23.6624371824233
-0.497,0.8678,1.48911394,0,-0.0037,95.72,-23.6497390590032
-0.497,0.8678,1.48911394,0,-0.0037,95.735,-23.6392181135649
-0.497,0.8678,1.48911394,0,-0.0037,95.75,-23.6300343773146
-0.497,0.8678,1.48911394,0,-0.0037,95.765,-23.6212967991712
-0.497,0.8678,1.48911394,0,-0.0037,95.78,-23.6120691788777
-0.497,0.8678,1.48911394,0,-0.0037,95.795,-23.6013784346496
-0.497,0.8678,1.48911394,0,-0.0037,95.81,-23.5882253616712
-0.497,0.8678,1.48911394,0,-0.0037,95.825,-23.5715979256857
-0.497,0.8678,1.48911394,0,-0.0037,95.84,-23.5504869875791
-0.497,0.8678,1.48911394,0,-0.0037,95.855,-23.5239041748758
-0.497,0.8678,1.48911394,0,-0.0037,95.87,-23.490901415338
-0.497,0.8678,1.48911394,0,-0.0037,95.885,-23.4505914438994
-0.497,0.8678,1.48911394,0,-0.0037,95.9,-23.4021684102572
-0.497,0.8678,1.48911394,0,-0.0037,95.915,-23.3449275771797
-0.497,0.8678,1.48911394,0,-0.0037,95.93,-23.2782830348348
-0.497,0.8678,1.48911394,0,-0.0037,95.945,-23.2017823843844
-0.497,0.8678,1.48911394,0,-0.0037,95.96,-23.1151174742063
-0.497,0.8678,1.48911394,0,-0.0037,95.975,-23.0181304996436
-0.497,0.8678,1.48911394,0,-0.0037,95.99,-22.9108150820673
-0.497,0.8678,1.48911394,0,-0.0037,96.005,-22.7933122922013
-0.497,0.8678,1.48911394,0,-0.0037,96.02,-22.6659019352222
-0.497,0.8678,1.48911394,0,-0.0037,96.035,-22.5289897296818
-0.497,0.8678,1.48911394,0,-0.0037,96.05,-22.3830912540733
-0.497,0.8678,1.48911394,0,-0.0037,96.065,-22.228813681555
-0.497,0.8678,1.48911394,0,-0.0037,96.08,-22.0668363677738
-0.497,0.8678,1.48911394,0,-0.0037,96.095,-21.897891306361
-0.497,0.8678,1.48911394,0,-0.0037,96.11,-21.7227443402917
-0.497,0.8678,1.48911394,0,-0.0037,96.125,-21.5421778402514
-0.497,0.8678,1.48911394,0,-0.0037,96.14,-21.3569753601991
-0.497,0.8678,1.48911394,0,-0.0037,96.155,-21.1679085794552
-0.497,0.8678,1.48911394,0,-0.0037,96.17,-20.9757266583839
-0.497,0.8678,1.48911394,0,-0.0037,96.185,-20.7811479829684
-0.497,0.8678,1.48911394,0,-0.0037,96.2,-20.5848541578637
-0.497,0.8678,1.48911394,0,-0.0037,96.215,-20.387486028128
-0.497,0.8678,1.48911394,0,-0.0037,96.23,-20.1896414634252
-0.497,0.8678,1.48911394,0,-0.0037,96.245,-19.9918746194982
-0.497,0.8678,1.48911394,0,-0.0037,96.26,-19.794696393775
-0.497,0.8678,1.48911394,0,-0.0037,96.275,-19.598575808837
-0.497,0.8678,1.48911394,0,-0.0037,96.29,-19.4039420836244
-0.497,0.8678,1.48911394,0,-0.0037,96.305,-19.2111871831881
-0.497,0.8678,1.48911394,0,-0.0037,96.32,-19.0206686701146
-0.497,0.8678,1.48911394,0,-0.0037,96.335,-18.8327127120719
-0.497,0.8678,1.48911394,0,-0.0037,96.35,-18.6476171287096
-0.497,0.8678,1.48911394,0,-0.0037,96.365,-18.4656543866047
-0.497,0.8678,1.48911394,0,-0.0037,96.38,-18.2870744726862
-0.497,0.8678,1.48911394,0,-0.0037,96.395,-18.1121075946718
-0.497,0.8678,1.48911394,0,-0.0037,96.41,-17.9409666717159
-0.497,0.8678,1.48911394,0,-0.0037,96.425,-17.7738495900832
-0.497,0.8678,1.48911394,0,-0.0037,96.44,-17.6109412076635
-0.497,0.8678,1.48911394,0,-0.0037,96.455,-17.4524150979529
-0.497,0.8678,1.48911394,0,-0.0037,96.47,-17.298435029177
-0.497,0.8678,1.48911394,0,-0.0037,96.485,-17.1491561779141
-0.497,0.8678,1.48911394,0,-0.0037,96.5,-17.0047260792101
-0.497,0.8678,1.48911394,0,-0.0037,96.515,-16.8652853170829
-0.497,0.8678,1.48911394,0,-0.0037,96.53,-16.7309679607183
-0.497,0.8678,1.48911394,0,-0.0037,96.545,-16.6019017527849
-0.497,0.8678,1.48911394,0,-0.0037,96.56,-16.4782080572903
-0.497,0.8678,1.48911394,0,-0.0037,96.575,-16.3600015754144
-0.497,0.8678,1.48911394,0,-0.0037,96.59,-16.2473898388622
-0.497,0.8678,1.48911394,0,-0.0037,96.605,-16.1404724915612
-0.497,0.8678,1.48911394,0,-0.0037,96.62,-16.0393403720153
-0.497,0.8678,1.48911394,0,-0.0037,96.635,-15.9440744103349
-0.497,0.8678,1.48911394,0,-0.0037,96.65,-15.8547443558755
-0.497,0.8678,1.48911394,0,-0.0037,96.665,-15.7714073535132
-0.497,0.8678,1.48911394,0,-0.0037,96.68,-15.6941063888084
-0.497,0.8678,1.48911394,0,-0.0037,96.695,-15.6228686246001
-0.497,0.8678,1.48911394,0,-0.0037,96.71,-15.5577036538762
-0.497,0.8678,1.48911394,0,-0.0037,96.725,-15.4986016959929
-0.497,0.8678,1.48911394,0,-0.0037,96.74,-15.4455317654184
-0.497,0.8678,1.48911394,0,-0.0037,96.755,-15.3984398440953
-0.497,0.8678,1.48911394,0,-0.0037,96.77,-15.3572470902085
-0.497,0.8678,1.48911394,0,-0.0037,96.785,-15.321848117605
-0.497,0.8678,1.48911394,0,-0.0037,96.8,-15.2921093813379
-0.497,0.8678,1.48911394,0,-0.0037,96.815,-15.2678677058316
-0.497,0.8678,1.48911394,0,-0.0037,96.83,-15.2489289930386
-0.497,0.8678,1.48911394,0,-0.0037,96.845,-15.2350671487433
-0.497,0.8678,1.48911394,0,-0.0037,96.86,-15.2260232659127
-0.497,0.8678,1.48911394,0,-0.0037,96.875,-15.2215051047629
-0.497,0.8678,1.48911394,0,-0.0037,96.89,-15.2211869099796
-0.497,0.8678,1.48911394,0,-0.0037,96.905,-15.2247096062794
-0.497,0.8678,1.48911394,0,-0.0037,96.92,-15.2316814140719
-0.497,0.8678,1.48911394,0,-0.0037,96.935,-15.2416789271709
-0.497,0.8678,1.48911394,0,-0.0037,96.95,-15.2542486939596
-0.497,0.8678,1.48911394,0,-0.0037,96.965,-15.2689093417056
-0.497,0.8678,1.48911394,0,-0.0037,96.98,-15.2851542802906
-0.497,0.8678,1.48911394,0,-0.0037,96.995,-15.3024550158604
-0.497,0.8678,1.48911394,0,-0.0037,97.01,-15.3202650961861
-0.497,0.8678,1.48911394,0,-0.0037,97.025,-15.3380246972512
-0.497,0.8678,1.48911394,0,-0.0037,97.04,-15.3551658443355
-0.497,0.8678,1.48911394,0,-0.0037,97.055,-15.3711182404257
-0.497,0.8678,1.48911394,0,-0.0037,97.07,-15.3853156503355
-0.497,0.8678,1.48911394,0,-0.0037,97.085,-15.397202761061
-0.497,0.8678,1.48911394,0,-0.0037,97.1,-15.4062424087933
-0.497,0.8678,1.48911394,0,-0.0037,97.115,-15.411923032322
-0.497,0.8678,1.48911394,0,-0.0037,97.13,-15.4137661834986
-0.497,0.8678,1.48911394,0,-0.0037,97.145,-15.4113339004946
-0.497,0.8678,1.48911394,0,-0.0037,97.16,-15.4042357314858
-0.497,0.8678,1.48911394,0,-0.0037,97.175,-15.3921351876195
-0.497,0.8678,1.48911394,0,-0.0037,97.19,-15.3747554067181
-0.497,0.8678,1.48911394,0,-0.0037,97.205,-15.3518838243509
-0.497,0.8678,1.48911394,0,-0.0037,97.22,-15.3233756768006
-0.497,0.8678,1.48911394,0,-0.0037,97.235,-15.2891561999783
-0.497,0.8678,1.48911394,0,-0.0037,97.25,-15.2492214372
-0.497,0.8678,1.48911394,0,-0.0037,97.265,-15.2036376235976
-0.497,0.8678,1.48911394,0,-0.0037,97.28,-15.1525391717943
-0.497,0.8678,1.48911394,0,-0.0037,97.295,-15.0961253380787
-0.497,0.8678,1.48911394,0,-0.0037,97.31,-15.034655696679
-0.497,0.8678,1.48911394,0,-0.0037,97.325,-14.9684445885865
-0.497,0.8678,1.48911394,0,-0.0037,97.34,-14.8978547384796
-0.497,0.8678,1.48911394,0,-0.0037,97.355,-14.8232902476328
-0.497,0.8678,1.48911394,0,-0.0037,97.37,-14.7451891725084
-0.497,0.8678,1.48911394,0,-0.0037,97.385,-14.6640158893076
-0.497,0.8678,1.48911394,0,-0.0037,97.4,-14.5802534262562
-0.497,0.8678,1.48911394,0,-0.0037,97.415,-14.4943959203994
-0.497,0.8678,1.48911394,0,-0.0037,97.43,-14.4069413269657
-0.497,0.8678,1.48911394,0,-0.0037,97.445,-14.3183844795194
-0.497,0.8678,1.48911394,0,-0.0037,97.46,-14.2292105704003
-0.497,0.8678,1.48911394,0,-0.0037,97.475,-14.1398890950758
-0.497,0.8678,1.48911394,0,-0.0037,97.49,-14.0508682821336
-0.497,0.8678,1.48911394,0,-0.0037,97.505,-13.9625700133572
-0.497,0.8678,1.48911394,0,-0.0037,97.52,-13.8753852257315
-0.497,0.8678,1.48911394,0,-0.0037,97.535,-13.789669779072
-0.497,0.8678,1.48911394,0,-0.0037,97.55,-13.7057407686941
-0.497,0.8678,1.48911394,0,-0.0037,97.565,-13.6238732614289
-0.497,0.8678,1.48911394,0,-0.0037,97.58,-13.5442974345683
-0.497,0.8678,1.48911394,0,-0.0037,97.595,-13.4671961002112
-0.497,0.8678,1.48911394,0,-0.0037,97.61,-13.3927026012946
